"group";"ISOweek";"deaths"
"00to14";"2014-W15";12
"00to14";"2014-W16";13
"00to14";"2014-W17";14
"00to14";"2014-W18";14
"00to14";"2014-W19";11
"00to14";"2014-W20";6
"00to14";"2014-W21";14
"00to14";"2014-W22";9
"00to14";"2014-W23";12
"00to14";"2014-W24";7
"00to14";"2014-W25";6
"00to14";"2014-W26";8
"00to14";"2014-W27";8
"00to14";"2014-W28";7
"00to14";"2014-W29";13
"00to14";"2014-W30";7
"00to14";"2014-W31";12
"00to14";"2014-W32";10
"00to14";"2014-W33";9
"00to14";"2014-W34";14
"00to14";"2014-W35";12
"00to14";"2014-W36";17
"00to14";"2014-W37";8
"00to14";"2014-W38";13
"00to14";"2014-W39";15
"00to14";"2014-W40";15
"00to14";"2014-W41";7
"00to14";"2014-W42";15
"00to14";"2014-W43";5
"00to14";"2014-W44";10
"00to14";"2014-W45";13
"00to14";"2014-W46";14
"00to14";"2014-W47";6
"00to14";"2014-W48";17
"00to14";"2014-W49";17
"00to14";"2014-W50";6
"00to14";"2014-W51";11
"00to14";"2014-W52";12
"00to14";"2015-W01";10
"00to14";"2015-W02";8
"00to14";"2015-W03";5
"00to14";"2015-W04";10
"00to14";"2015-W05";6
"00to14";"2015-W06";4
"00to14";"2015-W07";13
"00to14";"2015-W08";13
"00to14";"2015-W09";13
"00to14";"2015-W10";10
"00to14";"2015-W11";12
"00to14";"2015-W12";10
"00to14";"2015-W13";9
"00to14";"2015-W14";9
"00to14";"2015-W15";9
"00to14";"2015-W16";12
"00to14";"2015-W17";8
"00to14";"2015-W18";8
"00to14";"2015-W19";9
"00to14";"2015-W20";5
"00to14";"2015-W21";7
"00to14";"2015-W22";9
"00to14";"2015-W23";9
"00to14";"2015-W24";21
"00to14";"2015-W25";11
"00to14";"2015-W26";12
"00to14";"2015-W27";12
"00to14";"2015-W28";6
"00to14";"2015-W29";9
"00to14";"2015-W30";14
"00to14";"2015-W31";15
"00to14";"2015-W32";17
"00to14";"2015-W33";16
"00to14";"2015-W34";6
"00to14";"2015-W35";16
"00to14";"2015-W36";7
"00to14";"2015-W37";18
"00to14";"2015-W38";9
"00to14";"2015-W39";7
"00to14";"2015-W40";14
"00to14";"2015-W41";12
"00to14";"2015-W42";5
"00to14";"2015-W43";14
"00to14";"2015-W44";13
"00to14";"2015-W45";9
"00to14";"2015-W46";9
"00to14";"2015-W47";7
"00to14";"2015-W48";9
"00to14";"2015-W49";13
"00to14";"2015-W50";11
"00to14";"2015-W51";7
"00to14";"2015-W52";11
"00to14";"2015-W53";9
"00to14";"2016-W01";19
"00to14";"2016-W02";13
"00to14";"2016-W03";10
"00to14";"2016-W04";6
"00to14";"2016-W05";7
"00to14";"2016-W06";10
"00to14";"2016-W07";9
"00to14";"2016-W08";12
"00to14";"2016-W09";6
"00to14";"2016-W10";15
"00to14";"2016-W11";15
"00to14";"2016-W12";11
"00to14";"2016-W13";16
"00to14";"2016-W14";8
"00to14";"2016-W15";11
"00to14";"2016-W16";13
"00to14";"2016-W17";10
"00to14";"2016-W18";6
"00to14";"2016-W19";10
"00to14";"2016-W20";10
"00to14";"2016-W21";14
"00to14";"2016-W22";14
"00to14";"2016-W23";10
"00to14";"2016-W24";10
"00to14";"2016-W25";9
"00to14";"2016-W26";15
"00to14";"2016-W27";15
"00to14";"2016-W28";9
"00to14";"2016-W29";11
"00to14";"2016-W30";16
"00to14";"2016-W31";18
"00to14";"2016-W32";16
"00to14";"2016-W33";9
"00to14";"2016-W34";12
"00to14";"2016-W35";9
"00to14";"2016-W36";9
"00to14";"2016-W37";6
"00to14";"2016-W38";12
"00to14";"2016-W39";9
"00to14";"2016-W40";16
"00to14";"2016-W41";13
"00to14";"2016-W42";12
"00to14";"2016-W43";14
"00to14";"2016-W44";10
"00to14";"2016-W45";11
"00to14";"2016-W46";8
"00to14";"2016-W47";4
"00to14";"2016-W48";10
"00to14";"2016-W49";10
"00to14";"2016-W50";10
"00to14";"2016-W51";2
"00to14";"2016-W52";13
"00to14";"2017-W01";7
"00to14";"2017-W02";22
"00to14";"2017-W03";10
"00to14";"2017-W04";12
"00to14";"2017-W05";16
"00to14";"2017-W06";11
"00to14";"2017-W07";15
"00to14";"2017-W08";10
"00to14";"2017-W09";10
"00to14";"2017-W10";10
"00to14";"2017-W11";14
"00to14";"2017-W12";6
"00to14";"2017-W13";7
"00to14";"2017-W14";3
"00to14";"2017-W15";14
"00to14";"2017-W16";17
"00to14";"2017-W17";10
"00to14";"2017-W18";15
"00to14";"2017-W19";7
"00to14";"2017-W20";14
"00to14";"2017-W21";9
"00to14";"2017-W22";16
"00to14";"2017-W23";14
"00to14";"2017-W24";12
"00to14";"2017-W25";12
"00to14";"2017-W26";8
"00to14";"2017-W27";14
"00to14";"2017-W28";14
"00to14";"2017-W29";11
"00to14";"2017-W30";7
"00to14";"2017-W31";11
"00to14";"2017-W32";18
"00to14";"2017-W33";18
"00to14";"2017-W34";13
"00to14";"2017-W35";12
"00to14";"2017-W36";7
"00to14";"2017-W37";5
"00to14";"2017-W38";17
"00to14";"2017-W39";20
"00to14";"2017-W40";8
"00to14";"2017-W41";10
"00to14";"2017-W42";12
"00to14";"2017-W43";7
"00to14";"2017-W44";16
"00to14";"2017-W45";9
"00to14";"2017-W46";11
"00to14";"2017-W47";11
"00to14";"2017-W48";8
"00to14";"2017-W49";12
"00to14";"2017-W50";15
"00to14";"2017-W51";9
"00to14";"2017-W52";9
"00to14";"2018-W01";12
"00to14";"2018-W02";12
"00to14";"2018-W03";10
"00to14";"2018-W04";17
"00to14";"2018-W05";12
"00to14";"2018-W06";8
"00to14";"2018-W07";15
"00to14";"2018-W08";13
"00to14";"2018-W09";7
"00to14";"2018-W10";5
"00to14";"2018-W11";13
"00to14";"2018-W12";13
"00to14";"2018-W13";10
"00to14";"2018-W14";18
"00to14";"2018-W15";15
"00to14";"2018-W16";13
"00to14";"2018-W17";11
"00to14";"2018-W18";11
"00to14";"2018-W19";5
"00to14";"2018-W20";8
"00to14";"2018-W21";7
"00to14";"2018-W22";19
"00to14";"2018-W23";10
"00to14";"2018-W24";10
"00to14";"2018-W25";6
"00to14";"2018-W26";7
"00to14";"2018-W27";14
"00to14";"2018-W28";9
"00to14";"2018-W29";5
"00to14";"2018-W30";8
"00to14";"2018-W31";4
"00to14";"2018-W32";10
"00to14";"2018-W33";8
"00to14";"2018-W34";14
"00to14";"2018-W35";10
"00to14";"2018-W36";10
"00to14";"2018-W37";10
"00to14";"2018-W38";11
"00to14";"2018-W39";10
"00to14";"2018-W40";14
"00to14";"2018-W41";11
"00to14";"2018-W42";10
"00to14";"2018-W43";11
"00to14";"2018-W44";7
"00to14";"2018-W45";9
"00to14";"2018-W46";7
"00to14";"2018-W47";11
"00to14";"2018-W48";9
"00to14";"2018-W49";9
"00to14";"2018-W50";10
"00to14";"2018-W51";12
"00to14";"2018-W52";6
"00to14";"2019-W01";6
"00to14";"2019-W02";11
"00to14";"2019-W03";9
"00to14";"2019-W04";13
