"group";"ISOweek";"GSCLS"
"00to14";"2014-W27";0
"00to14";"2014-W28";0
"00to14";"2014-W29";0
"00to14";"2014-W30";0
"00to14";"2014-W31";0
"00to14";"2014-W32";0
"00to14";"2014-W33";0
"00to14";"2014-W34";0
"00to14";"2014-W35";0
"00to14";"2014-W36";0
"00to14";"2014-W37";0
"00to14";"2014-W38";0
"00to14";"2014-W39";0
"00to14";"2014-W40";0
"00to14";"2014-W41";0
"00to14";"2014-W42";0
"00to14";"2014-W43";0
"00to14";"2014-W44";0
"00to14";"2014-W45";0
"00to14";"2014-W46";0
"00to14";"2014-W47";0
"00to14";"2014-W48";0
"00to14";"2014-W49";0
"00to14";"2014-W50";0
"00to14";"2014-W51";0
"00to14";"2014-W52";0
"00to14";"2015-W01";0
"00to14";"2015-W02";0
"00to14";"2015-W03";0
"00to14";"2015-W04";0
"00to14";"2015-W05";0
"00to14";"2015-W06";0
"00to14";"2015-W07";0
"00to14";"2015-W08";0
"00to14";"2015-W09";0
"00to14";"2015-W10";0
"00to14";"2015-W11";0
"00to14";"2015-W12";0
"00to14";"2015-W13";0
"00to14";"2015-W14";0
"00to14";"2015-W15";0
"00to14";"2015-W16";0
"00to14";"2015-W17";0
"00to14";"2015-W18";0
"00to14";"2015-W19";0
"00to14";"2015-W20";0
"00to14";"2015-W21";0
"00to14";"2015-W22";0
"00to14";"2015-W23";0
"00to14";"2015-W24";0
"00to14";"2015-W25";0
"00to14";"2015-W26";0
"00to14";"2015-W27";0
"00to14";"2015-W28";0
"00to14";"2015-W29";0
"00to14";"2015-W30";0
"00to14";"2015-W31";0
"00to14";"2015-W32";0
"00to14";"2015-W33";0
"00to14";"2015-W34";0
"00to14";"2015-W35";0
"00to14";"2015-W36";0
"00to14";"2015-W37";0
"00to14";"2015-W38";0
"00to14";"2015-W39";0
"00to14";"2015-W40";0
"00to14";"2015-W41";0
"00to14";"2015-W42";0
"00to14";"2015-W43";0
"00to14";"2015-W44";0
"00to14";"2015-W45";0
"00to14";"2015-W46";0
"00to14";"2015-W47";0
"00to14";"2015-W48";0
"00to14";"2015-W49";0
"00to14";"2015-W50";0
"00to14";"2015-W51";0
"00to14";"2015-W52";0
"00to14";"2015-W53";0
"00to14";"2016-W01";0
"00to14";"2016-W02";0
"00to14";"2016-W03";0
"00to14";"2016-W04";0
"00to14";"2016-W05";0
"00to14";"2016-W06";0
"00to14";"2016-W07";0
"00to14";"2016-W08";0
"00to14";"2016-W09";0
"00to14";"2016-W10";0
"00to14";"2016-W11";0
"00to14";"2016-W12";0
"00to14";"2016-W13";0
"00to14";"2016-W14";0
"00to14";"2016-W15";0
"00to14";"2016-W16";0
"00to14";"2016-W17";0
"00to14";"2016-W18";0
"00to14";"2016-W19";0
"00to14";"2016-W20";0
"00to14";"2016-W21";0
"00to14";"2016-W22";0
"00to14";"2016-W23";0
"00to14";"2016-W24";0
"00to14";"2016-W25";0
"00to14";"2016-W26";0
"00to14";"2016-W27";0
"00to14";"2016-W28";0
"00to14";"2016-W29";0
"00to14";"2016-W30";0
"00to14";"2016-W31";0
"00to14";"2016-W32";0
"00to14";"2016-W33";0
"00to14";"2016-W34";0
"00to14";"2016-W35";0
"00to14";"2016-W36";0
"00to14";"2016-W37";0
"00to14";"2016-W38";0
"00to14";"2016-W39";0
"00to14";"2016-W40";0
"00to14";"2016-W41";0
"00to14";"2016-W42";0
"00to14";"2016-W43";0
"00to14";"2016-W44";0
"00to14";"2016-W45";0
"00to14";"2016-W46";0
"00to14";"2016-W47";0
"00to14";"2016-W48";0
"00to14";"2016-W49";0
"00to14";"2016-W50";0
