"group";"ISOweek";"GSIPLS"
"00to14";"2014-W27";0
"00to14";"2014-W28";0
"00to14";"2014-W29";0
"00to14";"2014-W30";0
"00to14";"2014-W31";0
"00to14";"2014-W32";0
"00to14";"2014-W33";0
"00to14";"2014-W34";0
"00to14";"2014-W35";0
"00to14";"2014-W36";0
"00to14";"2014-W37";0
"00to14";"2014-W38";0
"00to14";"2014-W39";0
"00to14";"2014-W40";0
"00to14";"2014-W41";0
"00to14";"2014-W42";0
"00to14";"2014-W43";0
"00to14";"2014-W44";0
"00to14";"2014-W45";0
"00to14";"2014-W46";0
"00to14";"2014-W47";0
"00to14";"2014-W48";0
"00to14";"2014-W49";0
"00to14";"2014-W50";0
"00to14";"2014-W51";0.000502574382686321
"00to14";"2014-W52";0
"00to14";"2015-W01";0.000997300163349362
"00to14";"2015-W02";0.000505308129431205
"00to14";"2015-W03";0.00137147381547574
"00to14";"2015-W04";0.0012746910916138
"00to14";"2015-W05";0.00528383876938817
"00to14";"2015-W06";0.00840586573899885
"00to14";"2015-W07";0.0168332455212556
"00to14";"2015-W08";0.0152005885286004
"00to14";"2015-W09";0.0219166375726472
"00to14";"2015-W10";0.0179940590826992
"00to14";"2015-W11";0.0150579666648636
"00to14";"2015-W12";0.0105827359287106
"00to14";"2015-W13";0.0063441620746751
"00to14";"2015-W14";0.0047435814283833
"00to14";"2015-W15";0.00261875007536671
"00to14";"2015-W16";0.00126857812723194
"00to14";"2015-W17";0.000507620462314938
"00to14";"2015-W18";0.000564114551308645
"00to14";"2015-W19";0.000309292564476846
"00to14";"2015-W20";0.000225745771815153
"00to14";"2015-W21";9.87795928285722e-05
"00to14";"2015-W22";0
"00to14";"2015-W23";0
"00to14";"2015-W24";0.000191071839551036
"00to14";"2015-W25";0
"00to14";"2015-W26";0
"00to14";"2015-W27";0
"00to14";"2015-W28";0
"00to14";"2015-W29";0
"00to14";"2015-W30";0
"00to14";"2015-W31";0
"00to14";"2015-W32";5.31877923929773e-05
"00to14";"2015-W33";0
"00to14";"2015-W34";6.72850787470179e-05
"00to14";"2015-W35";0
"00to14";"2015-W36";0
"00to14";"2015-W37";0
"00to14";"2015-W38";0
"00to14";"2015-W39";0
"00to14";"2015-W40";0
"00to14";"2015-W41";0
"00to14";"2015-W42";0.000108540279256096
"00to14";"2015-W43";9.4410819676946e-05
"00to14";"2015-W44";0
"00to14";"2015-W45";0
"00to14";"2015-W46";0.000156198301523131
"00to14";"2015-W47";0.00028417459783101
"00to14";"2015-W48";0.000818737576792442
"00to14";"2015-W49";0.000318787605932802
"00to14";"2015-W50";0.00135094009524602
"00to14";"2015-W51";0.00179504850115375
"00to14";"2015-W52";0.00144179722831962
"00to14";"2015-W53";0.00145108950557317
"00to14";"2016-W01";0.000905977709842247
"00to14";"2016-W02";0.00402074110739677
"00to14";"2016-W03";0.0108125026080926
"00to14";"2016-W04";0.031986077616839
"00to14";"2016-W05";0.0543724638125286
"00to14";"2016-W06";0.0896076004152509
"00to14";"2016-W07";0.0626396039215738
"00to14";"2016-W08";0.051806203131071
"00to14";"2016-W09";0.0564208275269495
"00to14";"2016-W10";0.0405527589783187
"00to14";"2016-W11";0.0456055486106267
"00to14";"2016-W12";0.0162983124280274
"00to14";"2016-W13";0.00380904152594749
"00to14";"2016-W14";0.0032564477977312
"00to14";"2016-W15";0.0018693590679859
"00to14";"2016-W16";0.000919468901851092
"00to14";"2016-W17";0.000468984742147281
"00to14";"2016-W18";0.00045618170610802
"00to14";"2016-W19";0.000193331618647692
"00to14";"2016-W20";0.000139042206844335
"00to14";"2016-W21";8.25622599363229e-05
