"group";"ISOweek";"N"
"00to14";"2014-W27";964651.714285714
"00to14";"2014-W28";964496.714285714
"00to14";"2014-W29";964532.285714286
"00to14";"2014-W30";964443.142857143
"00to14";"2014-W31";964386.571428571
"00to14";"2014-W32";964136.428571429
"00to14";"2014-W33";964144.285714286
"00to14";"2014-W34";963963.714285714
"00to14";"2014-W35";963865.142857143
"00to14";"2014-W36";963901.428571429
"00to14";"2014-W37";963796.142857143
"00to14";"2014-W38";963643.857142857
"00to14";"2014-W39";963481.428571429
"00to14";"2014-W40";963304.714285714
"00to14";"2014-W41";963141.857142857
"00to14";"2014-W42";963173.571428571
"00to14";"2014-W43";963137.428571429
"00to14";"2014-W44";963213
"00to14";"2014-W45";963171.571428571
"00to14";"2014-W46";963238.428571429
"00to14";"2014-W47";963260.142857143
"00to14";"2014-W48";963157.714285714
"00to14";"2014-W49";963093.714285714
"00to14";"2014-W50";962939.714285714
"00to14";"2014-W51";962925.714285714
"00to14";"2014-W52";962770.571428571
"00to14";"2015-W01";962549.428571429
"00to14";"2015-W02";962376
"00to14";"2015-W03";962294.714285714
"00to14";"2015-W04";962140.571428571
"00to14";"2015-W05";962010.142857143
"00to14";"2015-W06";961804.714285714
"00to14";"2015-W07";961622.428571429
"00to14";"2015-W08";961511.142857143
"00to14";"2015-W09";961510.857142857
"00to14";"2015-W10";961407.857142857
"00to14";"2015-W11";961333.428571429
"00to14";"2015-W12";961128.857142857
"00to14";"2015-W13";961002.714285714
"00to14";"2015-W14";960912.571428571
"00to14";"2015-W15";960509
"00to14";"2015-W16";960360.571428571
"00to14";"2015-W17";960181.571428571
"00to14";"2015-W18";960103.428571429
"00to14";"2015-W19";959925.857142857
"00to14";"2015-W20";959890.857142857
"00to14";"2015-W21";959814
"00to14";"2015-W22";959759.857142857
"00to14";"2015-W23";959784.428571429
"00to14";"2015-W24";959749.714285714
"00to14";"2015-W25";959817.571428571
"00to14";"2015-W26";959806.285714286
"00to14";"2015-W27";959947.285714286
"00to14";"2015-W28";959892.857142857
"00to14";"2015-W29";959918.857142857
"00to14";"2015-W30";959955.714285714
"00to14";"2015-W31";959949.428571429
"00to14";"2015-W32";959825
"00to14";"2015-W33";959898.142857143
"00to14";"2015-W34";959923.142857143
"00to14";"2015-W35";960041
"00to14";"2015-W36";959999.857142857
"00to14";"2015-W37";959899
"00to14";"2015-W38";959937.714285714
"00to14";"2015-W39";959975.714285714
"00to14";"2015-W40";959939
"00to14";"2015-W41";959820.714285714
"00to14";"2015-W42";959852.571428571
